,KTB E1(%),KTC E2(%),SKB E3(%),SKC E4(%),Mean Distance
1,-1.4000000000000001,2.0,0.0,0.4,0.00236770469291991
2,-1.6,1.7999999999999998,-0.2,0.2,0.0023721542079672836
3,-1.7999999999999998,1.6,-0.4,0.0,0.0023776168391067445
4,-1.2,2.0,0.2,0.4,0.0023782143749818624
5,-1.4000000000000001,1.7999999999999998,0.0,0.2,0.0023826662777463046
6,-2.0,1.4000000000000001,-0.6,-0.2,0.0023832257467798633
7,-1.6,1.6,-0.2,0.0,0.002388171834263013
8,-1.0,2.0,0.4,0.4,0.0023890222518482894
9,-1.2,1.7999999999999998,0.2,0.2,0.0023935202524812942
10,-1.7999999999999998,1.4000000000000001,-0.4,-0.2,0.0023938242158173723
