,KTB E1(%),KTC E2(%),SKB E3(%),SKC E4(%),Mean Distance
1,0.5,4,1.9,2.4,0.002341055
2,0.45,3.95,1.85,2.35,0.00234208
3,0.4,3.9,1.8,2.3,0.002343106
4,0.55,4,1.95,2.4,0.002343574
5,0.35,3.85,1.75,2.25,0.002344132
6,0.5,3.95,1.9,2.35,0.002344602
7,0.3,3.8,1.7,2.2,0.00234516
8,0.45,3.9,1.85,2.3,0.00234563
9,0.45,4,1.85,2.4,0.002345988
10,0.6,4,2,2.4,0.002346091
11,0.5,4,1.95,2.35,0.002346115
12,0.25,3.75,1.65,2.15,0.002346226
13,0.4,3.85,1.8,2.25,0.002346659
14,0.55,3.95,1.95,2.35,0.002347121
15,0.4,3.95,1.8,2.35,0.002347407
16,0.2,3.7,1.6,2.1,0.00234745
17,0.45,3.95,1.9,2.3,0.002347658
18,0.35,3.8,1.75,2.2,0.002347689
19,0.5,3.9,1.9,2.3,0.002348152
20,0.55,4,2,2.35,0.002348243
21,0.55,4,2,2.4,0.002348324
22,0.65,4,2.05,2.4,0.002348605
23,0.15,3.65,1.55,2.05,0.002348676
24,0.3,3.75,1.7,2.15,0.00234872
25,0.5,4,1.85,2.45,0.002348786
26,0.35,3.9,1.75,2.3,0.002348827
27,0.45,3.85,1.85,2.25,0.002349183
28,0.4,3.9,1.85,2.25,0.002349203
29,0.5,3.95,1.95,2.35,0.002349575
30,0.5,3.95,1.95,2.3,0.002349595
31,0.6,3.95,2,2.35,0.002349637
32,0.45,3.95,1.8,2.4,0.002349664
33,0.25,3.7,1.65,2.1,0.002349752
34,0.1,3.6,1.5,2,0.002349902
35,0.4,3.8,1.8,2.2,0.002350216
36,0.3,3.85,1.7,2.25,0.002350249
37,0.6,4,2.05,2.4,0.002350505
38,0.4,3.9,1.75,2.35,0.002350543
39,0.55,3.9,1.95,2.3,0.002350671
40,0.35,3.85,1.8,2.2,0.00235075
41,0.6,4,2.05,2.35,0.002350761
42,0.2,3.65,1.6,2.05,0.002350785
43,0.45,3.9,1.9,2.3,0.002350827
44,0.45,3.9,1.9,2.25,0.002350947
45,0.45,4,1.8,2.45,0.002351073
46,0.7,4,2.1,2.4,0.002351116
47,0.05,3.55,1.45,1.95,0.002351131
48,0.35,3.75,1.75,2.15,0.00235125
49,0.55,4,1.9,2.45,0.002351303
50,0.35,3.85,1.7,2.3,0.002351422
51,0.55,3.95,2,2.35,0.002351564
52,0.25,3.8,1.65,2.2,0.002351673
53,0.5,3.85,1.9,2.25,0.002351705
54,0.15,3.6,1.55,2,0.002351819
55,0.4,3.85,1.85,2.25,0.00235208
56,0.55,3.95,2,2.3,0.002352115
57,0.65,3.95,2.05,2.35,0.002352151
58,0.5,3.95,1.85,2.4,0.002352184
59,0.3,3.7,1.7,2.1,0.002352284
60,0.3,3.8,1.75,2.15,0.002352299
61,0.4,3.85,1.85,2.2,0.002352302
62,0.3,3.8,1.65,2.25,0.002352302
63,0.4,3.95,1.75,2.4,0.002352342
64,0,3.5,1.4,1.9,0.00235236
65,0.5,3.9,1.95,2.3,0.002352624
66,0.45,3.8,1.85,2.2,0.00235274
67,0.1,3.55,1.5,1.95,0.002352853
68,0.65,4,2.1,2.4,0.002352883
69,0.45,3.9,1.8,2.35,0.002353065
70,0.2,3.75,1.6,2.15,0.002353098
71,0.25,3.75,1.6,2.2,0.002353183
72,0.6,3.9,2,2.3,0.002353187
73,0.65,4,2.1,2.35,0.002353277
74,0.45,4,1.9,2.35,0.002353279
75,0.25,3.65,1.65,2.05,0.00235332
76,0.35,3.8,1.8,2.2,0.002353335
77,0.5,3.9,1.95,2.25,0.002353471
78,-0.05,3.45,1.35,1.85,0.00235359
79,0.35,3.9,1.7,2.35,0.002353612
80,0.75,4,2.15,2.4,0.002353625
81,0.35,3.8,1.8,2.15,0.002353658
82,0.45,3.85,1.9,2.25,0.002353685
83,0.4,3.75,1.8,2.15,0.002353776
84,0.6,4,1.95,2.45,0.002353818
85,0.25,3.75,1.7,2.1,0.002353849
86,0.05,3.5,1.45,1.9,0.002353889
87,0.6,3.95,2.05,2.35,0.002353944
88,0.4,3.85,1.75,2.3,0.002353947
89,0.55,4,1.95,2.45,0.00235406
90,0.2,3.7,1.55,2.15,0.002354064
91,0.55,3.85,1.95,2.25,0.002354224
92,0.2,3.6,1.6,2,0.002354356
93,0.45,4,1.85,2.35,0.002354435
94,0.4,4,1.8,2.4,0.002354521
95,0.15,3.7,1.55,2.1,0.002354525
96,0.3,3.75,1.75,2.15,0.002354591
97,0.6,3.95,2.05,2.3,0.002354634
98,0.7,3.95,2.1,2.35,0.002354663
99,0.55,3.95,1.9,2.4,0.002354701
100,0.4,3.8,1.85,2.2,0.002354747
