,KTB E1(%),KTC E2(%),SKB E3(%),SKC E4(%),Mean Distance
1,-2.1999999999999997,0.6,-0.2,-1.0,0.0009123757159659981
2,-2.0,0.8,0.0,-0.8,0.0009145049942371911
3,-1.7999999999999998,1.0,0.2,-0.6,0.0009166098941598988
4,-2.4,0.4,-0.4,-1.2,0.0009174872423778227
5,-1.6,1.2,0.4,-0.4,0.000918690656896988
6,-1.4000000000000001,1.4000000000000001,0.6,-0.2,0.0009207475209294139
7,-1.2,1.6,0.8,0.0,0.0009227807220904606
8,-1.0,1.7999999999999998,1.0,0.2,0.0009247904935994792
9,-0.8,2.0,1.2,0.4,0.0009267770660951373
10,-0.6,2.1999999999999997,1.4000000000000001,0.6,0.0009287406676681848
11,-2.6,0.2,-0.6,-1.4000000000000001,0.0009294228326089692
12,-0.4,2.4,1.6,0.8,0.0009306815238937505
13,-0.2,2.6,1.7999999999999998,1.0,0.0009325998578631627
14,0.0,2.8000000000000003,2.0,1.2,0.0009344958902153273
15,0.2,3.0,2.1999999999999997,1.4000000000000001,0.0009363698391676323
16,-2.8000000000000003,0.0,-0.8,-1.6,0.0009483972505520003
17,-3.0,-0.2,-1.0,-1.7999999999999998,0.0009700856952797203
18,0.2,3.0,2.0,1.4000000000000001,0.000982391085589464
19,0.0,2.8000000000000003,1.7999999999999998,1.2,0.00098969067170729
20,-0.2,2.6,1.6,1.0,0.0009970398812011755
21,-0.4,2.4,1.4000000000000001,0.8,0.0010044391297557484
22,-0.6,2.1999999999999997,1.2,0.6,0.0010118888372943854
23,-0.8,2.0,1.0,0.4,0.0010193894280304812
24,0.0,3.0,1.7999999999999998,1.4000000000000001,0.0010208886891276852
25,-1.0,1.7999999999999998,0.8,0.2,0.0010269413305194547
26,-0.2,2.8000000000000003,1.6,1.2,0.0010283301831693478
27,-1.2,1.6,0.6,0.0,0.001034544977711474
28,-0.4,2.6,1.4000000000000001,1.0,0.0010358220819867998
29,-1.4000000000000001,1.4000000000000001,0.4,-0.2,0.0010422008070049326
30,-0.6,2.4,1.2,0.8,0.001043364806971668
31,-1.6,1.2,0.2,-0.4,0.0010499092603006759
32,-0.8,2.1999999999999997,1.0,0.6,0.0010509587838060765
33,-2.4,0.2,-0.6,-1.4000000000000001,0.0010513980699957352
34,-2.1999999999999997,0.4,-0.4,-1.2,0.0010529905202382546
35,0.0,3.0,2.0,1.4000000000000001,0.0010531996295379028
36,-2.0,0.6,-0.2,-1.0,0.0010545616913302193
37,-1.7999999999999998,0.8,0.0,-0.8,0.0010561118006589913
38,-2.6,0.0,-0.8,-1.6,0.001056732859762233
39,-1.6,1.0,0.2,-0.6,0.0010576410631572206
40,-1.7999999999999998,1.0,0.0,-0.6,0.0010576707840569961
41,-1.0,2.0,0.8,0.4,0.001058604442514488
42,-1.4000000000000001,1.2,0.4,-0.4,0.0010591496913344833
43,-3.0,-0.2,-1.2,-1.6,0.0010593309822787122
44,-1.2,1.4000000000000001,0.6,-0.2,0.0010606378953084573
45,-1.0,1.6,0.8,0.0,0.0010621058828356492
46,-2.8000000000000003,0.0,-1.0,-1.4000000000000001,0.0010624957094414315
47,-0.8,1.7999999999999998,1.0,0.2,0.001063553859341663
48,-2.8000000000000003,-0.2,-1.0,-1.7999999999999998,0.0010646690579824807
49,-0.6,2.0,1.2,0.4,0.0010649820279510342
50,-2.0,0.8,-0.2,-0.8,0.0010654858293454087
51,-2.6,0.2,-0.8,-1.2,0.0010656261901946466
52,-1.2,1.7999999999999998,0.6,0.2,0.0010663022175162662
53,-0.4,2.1999999999999997,1.4000000000000001,0.6,0.0010663905895166286
54,-0.2,2.4,1.6,0.8,0.001067779742648614
55,-2.4,0.4,-0.6,-1.0,0.0010687227615443118
56,0.0,2.6,1.7999999999999998,1.0,0.0010691496837430064
57,0.2,2.8000000000000003,2.0,1.2,0.001070500607009822
58,-2.1999999999999997,0.6,-0.4,-0.8,0.001071785756738052
59,0.4,3.0,2.1999999999999997,1.4000000000000001,0.0010718327045007945
60,-3.0,-0.4,-1.2,-2.0,0.0010726607180484573
61,-2.1999999999999997,0.6,-0.4,-1.0,0.0010733548519072191
62,-1.4000000000000001,1.6,0.4,0.0,0.0010740525476789808
63,-0.2,2.8000000000000003,1.7999999999999998,1.2,0.0010741916233202881
64,-2.0,0.8,-0.2,-0.6,0.001074815505313408
65,-1.7999999999999998,1.0,0.0,-0.4,0.0010778123331453746
66,-1.6,1.2,0.2,-0.2,0.0010807765624932467
67,-2.4,0.4,-0.6,-1.2,0.0010812783122108925
68,-1.6,1.4000000000000001,0.2,-0.2,0.001081855876372457
69,-1.4000000000000001,1.4000000000000001,0.4,0.0,0.001083708512046779
70,-1.2,1.6,0.6,0.2,0.0010866084969716739
71,-2.6,0.2,-0.8,-1.4000000000000001,0.0010892566755102483
72,-1.0,1.7999999999999998,0.8,0.4,0.0010894768289544097
73,-1.7999999999999998,1.2,0.0,-0.4,0.0010897126515235938
74,-0.8,2.0,1.0,0.6,0.0010923138162464176
75,-0.6,2.1999999999999997,1.2,0.8,0.0010951197637076176
76,-0.4,2.6,1.6,1.0,0.001095341784702525
77,-2.8000000000000003,0.0,-1.0,-1.6,0.0010972904119034737
78,-2.0,1.0,-0.2,-0.6,0.001097623325671949
79,-0.4,2.4,1.4000000000000001,1.0,0.0011022254508962432
80,-3.0,-0.2,-1.2,-1.7999999999999998,0.0011053799963929999
81,-2.1999999999999997,0.8,-0.4,-0.8,0.0011055883560261207
82,-2.4,0.6,-0.6,-1.0,0.0011136082045209218
83,-0.2,2.6,1.6,1.2,0.0011139729294621478
84,-0.6,2.4,1.4000000000000001,0.8,0.0011166515026852868
85,0.4,3.0,2.0,1.4000000000000001,0.0011178539509226263
86,-2.6,0.4,-0.8,-1.2,0.0011216833378753664
87,0.0,2.8000000000000003,1.7999999999999998,1.4000000000000001,0.0011256198218718408
88,0.2,2.8000000000000003,1.7999999999999998,1.2,0.0011256953885017847
89,-2.8000000000000003,0.2,-1.0,-1.4000000000000001,0.001129814227651489
90,0.0,2.6,1.6,1.0,0.0011335897070810185
91,0.2,3.0,2.0,1.6,0.0011371670385004482
92,-3.0,0.0,-1.2,-1.6,0.0011380013503139931
93,-0.8,2.1999999999999997,1.2,0.6,0.0011381221808818677
94,-0.2,2.4,1.4000000000000001,0.8,0.001141537348510612
95,-0.4,2.1999999999999997,1.2,0.6,0.0011495387591428298
96,0.2,3.0,1.7999999999999998,1.4000000000000001,0.00115689340592218
97,-0.6,2.0,1.0,0.4,0.0011575943898863787
98,-1.0,2.0,1.0,0.4,0.0011597552376993382
99,0.0,2.8000000000000003,1.6,1.2,0.0011648800090491907
100,-0.8,1.7999999999999998,0.8,0.2,0.0011657046962616387
