,KTB E1(%),KTC E2(%),SKB E3(%),SKC E4(%),Mean Distance
1,-1.15,1.65,0.8,0.1,0.000813614
2,-1.1,1.7,0.85,0.15,0.000814222
3,-0.95,1.9,1,0.35,0.000814372
4,-1.2,1.6,0.75,0.05,0.000814677
5,-1.05,1.75,0.9,0.2,0.000814828
6,-0.9,1.95,1.05,0.4,0.000815358
7,-1,1.8,0.95,0.25,0.000815433
8,-1,1.85,0.95,0.3,0.000816036
9,-0.95,1.85,1,0.3,0.000816037
10,-0.85,2,1.1,0.45,0.000816343
11,-1.25,1.55,0.7,0,0.000816349
12,-0.9,1.9,1.05,0.35,0.000816638
13,-0.8,2.05,1.15,0.5,0.000817324
14,-1.05,1.8,0.9,0.25,0.000817702
15,-1.3,1.5,0.65,-0.05,0.000818024
16,-0.75,2.1,1.2,0.55,0.000818304
17,-0.7,2.15,1.25,0.6,0.000819281
18,-1.1,1.75,0.85,0.2,0.000819371
19,1.05,3.95,3.05,2.4,0.000819589
20,-1.35,1.45,0.6,-0.1,0.000819701
21,-0.85,1.95,1.1,0.4,0.000819886
22,1.1,4,3.15,2.4,0.000819983
23,1,3.9,3,2.35,0.000820213
24,-0.65,2.2,1.3,0.65,0.000820255
25,1.1,4,3.1,2.45,0.000820516
26,-1.15,1.7,0.8,0.15,0.000821043
27,-0.6,2.25,1.35,0.7,0.000821228
28,-1.4,1.4,0.55,-0.15,0.000821382
29,-0.55,2.3,1.4,0.75,0.000822198
30,0.95,3.85,2.95,2.3,0.000822585
31,-1.2,1.65,0.75,0.1,0.000822718
32,1.05,3.95,3.1,2.35,0.000822719
33,-1.45,1.35,0.5,-0.2,0.000823065
34,-0.8,2,1.15,0.45,0.000823126
35,-0.5,2.35,1.45,0.8,0.000823165
36,-0.35,2.5,1.65,0.95,0.000823266
37,-0.4,2.45,1.6,0.9,0.000823452
38,-0.45,2.4,1.55,0.85,0.000823639
39,-0.5,2.35,1.5,0.8,0.000823826
40,-0.55,2.3,1.45,0.75,0.000824013
41,-0.3,2.55,1.7,1,0.000824067
42,-0.45,2.4,1.5,0.85,0.000824131
43,-0.6,2.25,1.4,0.7,0.0008242
44,-0.65,2.2,1.35,0.65,0.000824388
45,-1.25,1.6,0.7,0.05,0.000824396
46,-0.7,2.15,1.3,0.6,0.000824575
47,-1.5,1.3,0.45,-0.25,0.000824752
48,-0.75,2.1,1.25,0.55,0.000824762
49,-0.8,2.05,1.2,0.5,0.000824949
50,0.9,3.8,2.9,2.25,0.000824962
51,-0.4,2.45,1.55,0.9,0.000825094
52,-0.85,2,1.15,0.45,0.000825136
53,-0.9,1.95,1.1,0.4,0.000825324
54,1,3.9,3.05,2.3,0.00082546
55,-0.95,1.9,1.05,0.35,0.000825511
56,-0.35,2.5,1.6,0.95,0.000826055
57,-1.3,1.55,0.65,0,0.000826077
58,-0.75,2.05,1.2,0.5,0.000826359
59,-1.55,1.25,0.4,-0.3,0.000826441
60,-0.3,2.55,1.65,1,0.000827013
61,-0.25,2.6,1.75,1.05,0.000827261
62,0.85,3.75,2.85,2.2,0.000827343
63,-1.35,1.5,0.6,-0.05,0.000827761
64,-0.25,2.6,1.7,1.05,0.000827969
65,-1.6,1.2,0.35,-0.35,0.000828134
66,0.95,3.85,3,2.25,0.000828207
67,-1,1.85,1,0.3,0.000828351
68,-0.2,2.65,1.75,1.1,0.000828923
69,-1.4,1.45,0.55,-0.1,0.000829448
70,-0.7,2.1,1.25,0.55,0.000829586
71,0.8,3.7,2.8,2.15,0.000829728
72,-1.65,1.15,0.3,-0.4,0.000829829
73,-0.15,2.7,1.8,1.15,0.000829875
74,1.1,4,3.1,2.4,0.000829926
75,-0.2,2.65,1.8,1.1,0.000830448
76,-4,-1.25,-2.1,-2.75,0.000830543
77,-0.1,2.75,1.85,1.2,0.000830824
78,0.9,3.8,2.95,2.2,0.000830958
79,-1.45,1.4,0.5,-0.15,0.000831137
80,-1.05,1.8,0.95,0.25,0.000831196
81,-1.7,1.1,0.25,-0.45,0.000831527
82,1.05,3.95,3.05,2.35,0.000831554
83,-3.95,-1.2,-2.05,-2.7,0.000831603
84,-0.05,2.8,1.9,1.25,0.000831771
85,-0.6,2.3,1.35,0.75,0.000831844
86,0.75,3.65,2.75,2.1,0.000832117
87,-3.9,-1.15,-2,-2.65,0.00083266
88,0,2.85,1.95,1.3,0.000832716
89,-0.55,2.35,1.4,0.8,0.000832761
90,-0.65,2.15,1.3,0.6,0.000832806
91,-1.5,1.35,0.45,-0.2,0.00083283
92,1,3.9,3,2.3,0.000833185
93,-1.75,1.05,0.2,-0.5,0.000833229
94,-0.15,2.7,1.85,1.15,0.000833629
95,0.05,2.9,2,1.35,0.000833658
96,0.85,3.75,2.9,2.15,0.000833714
97,-3.85,-1.1,-1.95,-2.6,0.000833715
98,-0.5,2.4,1.45,0.85,0.000833717
99,-1.1,1.75,0.9,0.2,0.000834046
100,-0.65,2.25,1.3,0.7,0.000834293
